id,companies,revenue
862,Pixar Animation Studios,373554033.0
8844,"TriStar Pictures,Teitler Film,Interscope Communications",262797249.0
15602,"Warner Bros.,Lancaster Gate",0.0
31357,Twentieth Century Fox Film Corporation,81452156.0
11862,"Sandollar Productions,Touchstone Pictures",76578911.0
949,"Regency Enterprises,Forward Pass,Warner Bros.",187436818.0
11860,"Paramount Pictures,Scott Rudin Productions,Mirage Enterprises,Sandollar Productions,Constellation Entertainment,Worldwide,Mont Blanc Entertainment GmbH",0.0
45325,Walt Disney Pictures,0.0
9091,"Universal Pictures,Imperial Entertainment,Signature Entertainment",64350171.0
710,"United Artists,Eon Productions",352194034.0
9087,"Columbia Pictures,Castle Rock Entertainment",107879496.0
12110,"Columbia Pictures,Castle Rock Entertainment,Enigma Pictures",0.0
21032,"Universal Pictures,Amblin Entertainment,Amblimation",11348324.0
10858,"Hollywood Pictures,Cinergi Pictures Entertainment",13681765.0
1408,"Le Studio Canal+,Laurence Mark Productions,Metro-Goldwyn-Mayer (MGM),Carolco Pictures",10017322.0
524,"Universal Pictures,Légende Entreprises,Syalis DA,De Fina-Cappa",116112375.0
4584,"Columbia Pictures Corporation,Mirage Enterprises",135000000.0
5,"Miramax Films,A Band Apart",4300000.0
9273,"O Entertainment,Warner Bros.,Morgan Creek Productions",212385533.0
11517,Columbia Pictures,35431113.0
8012,"Jersey Films,Metro-Goldwyn-Mayer (MGM)",115101622.0
1710,"Regency Enterprises,New Regency Pictures",0.0
9691,"Silver Pictures,Canal+,Warner Bros.,Dino De Laurentiis Company,Donner/Shuler-Donner Productions,Evansgideon/Lazar",30303072.0
12665,"Caravan Pictures,Hollywood Pictures",0.0
451,"United Artists,Intial Productions",49800000.0
16420,"Columbia Pictures,Castle Rock Entertainment",0.0
9263,New Line Cinema,27400000.0
17015,BBC Films,0.0
902,"Procirep,Constellation Productions,France 3 Cinéma,Claudie Ossard Productions,Eurimages,MEDIA Programme of the European Union,Cofimage 5,Televisión Española (TVE),Tele München Fernseh Produktionsgesellschaft (TMG),Club d'Investissement Média,Canal+ España,Elías Querejeta Producciones Cinematográficas S.L.,Centre National de la Cinématographie (CNC),Victoires Productions,Constellation,Lumière Pictures,Canal+,Studio Image,Cofimage 4,Ossane,Phoenix Images",1738611.0
37557,"Ministère des Affaires Étrangères,Alpha Films,La Sept Cinéma",0.0
9909,"Hollywood Pictures,Via Rosa Productions,Don Simpson/Jerry Bruckheimer Films",180000000.0
63,"Universal Pictures,Atlas Entertainment,Classico",168840000.0
78802,Iwerks Entertainment,0.0
9598,"Universal Pictures,Kennedy Miller Productions",254134910.0
47018,"StudioCanal,Cinéa,Euston Films,Freeway Films,European Co-production Fund,Polygram Filmed Entertainment,Orsans Productions",0.0
687,"Havoc,PolyGram Filmed Entertainment,Working Title Films",39363635.0
139405,Sony New Technologies,0.0
33689,"Dualstar Productions,Warner Bros.,Rysher Entertainment,Orr & Cruickshank",0.0
9603,Paramount Pictures,0.0
34615,"Miramax,Distant Horizon,Alpine Pty Limited",676525.0
31174,"British Screen,Mayfair Entertainment International",0.0
11443,"Caravan Pictures,Underworld Entertainment,Hollywood Pictures",0.0
35196,Miramax Films,0.0
9312,"New Line Cinema,Threshold Entertainment",122195920.0
577,"The Rank Organisation,Columbia Pictures Corporation",21284514.0
11861,"Universal Pictures,Amblin Entertainment",23574130.0
807,"New Line Cinema,Juno Pix,Cecchi Gori Pictures",327311859.0
10530,"Walt Disney Pictures,Walt Disney Feature Animation",346079773.0
8391,Alliance Communications Corporation,0.0
629,"Blue Parrot Productions,Bad Hat Harry Productions",23341568.0
11448,"Miramax Films,Magnolia Pictures",6700000.0
26441,"Walt Disney Pictures,Caravan Pictures",0.0
97406,"Miramax Films,CiBy 2000",0.0
124057,"Telefilm Canada,Melenny Productions",0.0
9089,"Paramount Pictures,Egg Pictures,PolyGram Filmed Entertainment",17519169.0
11359,"Paramount Pictures,Columbia Pictures Corporation,The Kennedy/Marshall Company",0.0
17182,Paramount Pictures,0.0
2054,"Hollywood Pictures,The Charlie Mopic Company,PolyGram Filmed Entertainment,Interscope Communications",106269971.0
10607,"Miramax Films,Island Pictures,Ivory Way Productions",0.0
19760,"Warner Bros.,Morgan Creek Productions",0.0
9536,"Metro-Goldwyn-Mayer (MGM),Motion Picture Corporation of America (MPCA),3 Arts Entertainment,Weasel Productions",0.0
11525,New Line Cinema,2409225.0
40628,Miramax Films,0.0
4482,"Renn Productions,Les Films Flam,TF1 Films Production,Canal+",0.0
10634,New Line Cinema,28215918.0
755,"A Band Apart,Dimension Films,Los Hooligans Productions,Miramax",25836616.0
11859,"Silver Pictures,Warner Bros.",11534477.0
28387,"Castleberg Productions,Sandollar Productions",718490.0
48750,"Les Films 13,Canal+,TF1",0.0
20927,"New Line Cinema,Juno Pix",19030691.0
36929,"Warner Bros.,Morgan Creek Productions",2042530.0
9102,"The Movie Network (TMN),Allegro Films,Fuji Eight Company Ltd.,Fries Film Group,Super Ecran,Triumph Films",5781885.0
124626,"Zweites Deutsches Fernsehen (ZDF),Ciak Filmproduktion,Bluehorse Films",0.0
27526,Miramax Films,0.0
9623,Columbia Pictures Corporation,0.0
46785,"I.R.I.B. Channel 2,Ferdos Films",0.0
400,Miramax Films,529766.0
880,"Bergen Film,Bard Entertainments,NPS Televisie",0.0
146599,"BET Pictures,United Image Entertainme",0.0
8447,"Playhouse International Pictures,The Samuel Goldwyn Company",0.0
10534,"Hollywood Pictures,Largo Entertainment,Scott Free Productions",10300000.0
17414,"Twentieth Century Fox Film Corporation,Joe Wizan/Todd Black",0.0
13997,Paramount Pictures,32.0
2086,Paramount Pictures,8175346.0
61548,"Miramax Films,Addis Wechsler Pictures",0.0
9095,"TriStar Pictures,NFH Productions",12379402.0
12158,Paramount Pictures,19800000.0
9283,"Miramax Films,Woods Entertainment",0.0
9208,"Twentieth Century Fox Film Corporation,WCG Entertainment Productions,Mark Gordon Productions",150270147.0
40154,"Castle Rock Entertainment,Midwinter Films",0.0
406,"Egg Pictures,PolyGram Filmed Entertainment,Canal+,Les Productions Lazennec,La Sept Cinéma,Kasso Inc. Productions,Studio Image,Cofinergie 6",0.0
45549,Channel Four Films,0.0
63076,"British Broadcasting Corporation (BBC),Westdeutscher Rundfunk (WDR),Canadian Broadcasting Corporation (CBC),Cinemax Reel Life,InPictures,Lafayette Films",0.0
11062,"Columbia Pictures,Castle Rock Entertainment",0.0
13685,"Gracie Films,Columbia Pictures Corporation",560069.0
47475,Touchstone Pictures,0.0
2045,"Metro-Goldwyn-Mayer (MGM),Dino De Laurentiis Company,Spelling Films",0.0
9614,"Universal Pictures,Brillstein-Grey Entertainment,Robert Simonds Productions",41205099.0
688,"Amblin Entertainment,Malpaso Productions,Warner Bros.",182016617.0
10874,"Walt Disney Pictures,Jim Henson Productions,Jim Henson Company, The",34327391.0
197,"Icon Entertainment International,The Ladd Company,B.H. Finance C.V.",210000000.0
103,"Columbia Pictures Corporation,Italo/Judeo Productions,Bill/Phillips",28262574.0
33542,"New Line Cinema,Golden Harvest Company",32392047.0
43566,"Caravan Pictures,Hollywood Pictures",0.0
71754,"Téléfilm Canada,Skyline Films,Malofilm,Société de Développement des Entreprises Culturelles (SODEC),British Screen Productions,National Film Board of Canada (NFB),imX Communications,Glace Bay Pictures,Ciné Télé Action,Nova Scotia Film Development Corporation,Ranfilm",0.0
43612,"France 2 Cinéma,France 3 Cinéma,StudioCanal,Les Productions du Champ Poirier,Téléma Productions",0.0
16934,Bavaria Film and Television Fund,0.0
10324,"TriStar Pictures,Motion Picture Corporation of America (MPCA)",0.0
78406,Savoy Pictures,6278139.0
55731,TriStar Pictures,0.0
11066,Paramount Pictures,70100000.0
11104,"Jet Tone Production,The Criterion Collection",0.0
37975,Cecchi Gori Group Tiger Cinematografica,0.0
2074,Miramax Films,14702438.0
27793,"Studio Babelsberg,Dieter Geissler Filmproduktion,Cinevox Filmproduktion GmbH,Warner Bros.,Miramax",0.0
44284,"Canal Horizons,Mat Films,Cinétéléfilms",0.0
73067,"Fine Line Features,Channel Four Films,Bórd Scannán na hÉireann,Canal+",0.0
11863,Paramount Pictures,9851610.0
55475,"Cigua Films,D'Pelicula",0.0
9101,Twentieth Century Fox Film Corporation,0.0
123360,Couch Potatoe Productions,0.0
39428,"Channel Four Films,Academy,Mayfair Films,Iberoamerica Films",0.0
9302,"Cinergi Pictures Entertainment,Touchstone Pictures",0.0
11000,United Artists,185260553.0
16388,Fox Searchlight Pictures,0.0
9737,"Columbia Pictures,Don Simpson/Jerry Bruckheimer Films",141407024.0
30765,Warner Bros.,0.0
10474,"New Line Cinema,Island Pictures",0.0
22279,"Fine Line Features,BBC,British Screen Productions,Portman Productions",851545.0
30157,"Channel Four Films,Zenith Entertainment,American Playhouse,Union Générale Cinématographique (UGC),La Sept Cinéma,True Fiction Pictures",0.0
568,"Imagine Entertainment,Universal Pictures",355237933.0
11780,"United Artists,Talisman Productions",31596911.0
34996,"October Films,Guild,Fastnet Films",0.0
414,"Warner Bros.,Polygram Filmed Entertainment",336529144.0
649,"Paris Films Productions,Five Films,Robert et Raymond Hakim",0.0
1873,"Columbia Pictures,Castle Rock Entertainment",0.0
5894,"Miramax Films,InterAL",1275000.0
1775,PolyGram Filmed Entertainment,178104.0
8839,"Universal Pictures,Amblin Entertainment,The Harvey Entertainment Company",287928194.0
20649,"Universal Pictures,40 Acres & A Mule Filmworks",13071518.0
10329,"Paramount Pictures,Kennedy/Marshall Company, The",152022101.0
8963,"Hollywood Pictures,Don Simpson/Jerry Bruckheimer Films",157387195.0
26564,Superior Pictures,3174695.0
8068,"Columbia Pictures,Los Hooligans Productions",25405445.0
8512,"TriStar Pictures,Mundy Lane Entertainment",16140822.0
1572,"Twentieth Century Fox Film Corporation,Cinergi Pictures Entertainment",366101666.0
13552,"Why Not Productions,Desperate Pictures,Blurco,The Teen Angst Movie Company",0.0
259209,"Touchstone Pictures,Merchant Ivory Productions",0.0
6520,"Columbia Pictures Corporation,First Knight Productions",127600435.0
9073,"Regency Enterprises,Alcor Films,Canal+,Donner/Shuler-Donner Productions,Warner Bros.",0.0
10428,"United Artists,Suftley",7563728.0
17447,"The Booking Office,Workin' Man Films",0.0
9886,"TriStar Pictures,Alliance Communications Corporation",19075720.0
9482,"Hollywood Pictures,Cinergi Pictures Entertainment",113493481.0
19326,TriStar Pictures,17014653.0
9344,Miramax Films,7412216.0
9071,"JDI productions,Lemon Sky Productions",1148752.0
8973,"United Artists,Seraphim Films",0.0
15730,"The Ontario Film Development Corporation,First Choice Films,Atlantis Films,Telefilm Canada,Max Films Productions,Super Écran,Société Générale des Industries Culturelles du Québec (SOGIC)",0.0
47608,Touchstone Pictures,15453274.0
2293,"Universal Pictures,Gramercy Pictures,Alphaville Films,View Askew Productions",2122561.0
9070,"Twentieth Century Fox Film Corporation,Saban Entertainment,Toei Company",66000000.0
68274,"PolyGram Filmed Entertainment,Working Title Films",0.0
48787,"Comet Film Produktion GmbH,Avrora Media,Cobblestone Pictures",1.0
34574,Kino Link Company,0.0
1642,Columbia Pictures,110627965.0
11472,"Twentieth Century Fox Film Corporation,1492 Pictures",69660733.0
36196,Party Productions,472370.0
11980,Dimension Films,16.0
58372,"Playhouse International Pictures,American Playhouse,Samuel Goldwyn Company, The",0.0
32646,"Killer Films,American Playhouse,Kardana Films,Chemical Films",0.0
10533,"Hollywood Pictures,Cinergi Pictures Entertainment",10382407.0
10802,"United Artists,Le Studio Canal+,Carolco Pictures",20350754.0
10149,Miramax Films,8349430.0
18402,"Spring Creek Productions,Warner Bros.,Hawn / Sylbert Movie Company",50892160.0
9348,Metro-Goldwyn-Mayer (MGM),113374103.0
139408,"Malpaso Productions,Butcher's Run Films,Warner Bros.",0.0
281,Lightstorm Entertainment,7959291.0
5967,"Beta Film,Madeleine Films,Parc Film",0.0
79593,"Hollywood Pictures,PolyGram Filmed Entertainment,Interscope Communications",5780000.0
47939,Savoy Pictures,7025496.0
36834,"Société Française de Production (SFP),FIT Productions,Portman Productions",339889.0
9090,"Universal Pictures,Amblin Entertainment",47774193.0
3512,"Regency Enterprises,Warner Bros.,Seagal/Nasso Productions,Victor Company of Japan (JVC),Cutting Edge Films",104324083.0
52856,Hollywood Pictures,0.0
9560,"Twentieth Century Fox Film Corporation,Zucker Brothers Productions",50012507.0
9804,"Universal Pictures,Gordon Company,Davis Entertainment,Licht/Mueller Film Corporation",264218220.0
31611,"HBO,A BandApart,Rysher Entertainment",0.0
65796,United Artists,0.0
49805,Paramount Pictures,0.0
26258,Twentieth Century Fox Film Corporation,0.0
50797,"Canal+,Studio Trite,Caméra One",2616503.0
19155,"PolyGram Audiovisuel,British Screen Productions",763847.0
76,"Detour Film Production,Warner Bros.",5535405.0
11017,Jack Giarraputo Productions,26488734.0
37141,Spelling Films International,0.0
9382,"Regency Enterprises,Alcor Films,Canal+,New Regency Pictures,Hera Productions",23450000.0
6715,"Universal Pictures,Island World",0.0
18256,Full Moon Entertainment,0.0
22625,"The Rank Organisation,Bórd Scannán na hÉireann,Lantana,Price Entertainment",0.0
2292,"Miramax Films,View Askew Productions",3151130.0
1909,"New Line Cinema,American Zoetrope",22200000.0
8984,"Warner Bros.,Baltimore Pictures",214015089.0
61813,"Keystone Pictures,Dream Man Productions Inc",0.0
4954,Paramount Pictures,0.0
62488,"Savoy Pictures,Rysher Entertainment",0.0
10531,"Fine Line Features,Channel Four Films,Capitol Films,TF1 Films Production,Canal+,Flach Film,Les Films de l'Astre",0.0
11929,"Castle Rock Entertainment,Columbia Pictures Corporation",0.0
8467,"New Line Cinema,Motion Picture Corporation of America (MPCA)",247275374.0
10451,"Ang Lee Productions,Good Machine,Central Motion Pictures",7294403.0
20156,"Miramax Films,Alliance Entertainment,Ego Film Arts",0.0
18395,Savoy Pictures,6841570.0
522,Touchstone Pictures,5887457.0
397,"Twentieth Century Fox Film Corporation,PolyGram Filmed Entertainment,Working Title Films,Prufrock Pictures",0.0
10525,"Columbia Pictures,Castle Rock Entertainment",0.0
27985,Twentieth Century Fox Film Corporation,0.0
15789,Walt Disney Pictures,35348597.0
27303,TriStar Pictures,12201255.0
21183,Metro-Goldwyn-Mayer,0.0
10954,"Italian International Film,Stéphan Films,MG",0.0
72031,Miramax Films,0.0
14275,"Fine Line Features,Kartemquin Films",7830611.0
1024,"WingNut Films,Miramax Films,New Zealand Film Commission,Fontana Productions",3049135.0
17207,"Caravan Pictures,Hollywood Pictures",26325256.0
13701,"Columbia Pictures,Majestic Films International,Icon Entertainment International",0.0
14819,"Walt Disney Pictures,Caravan Pictures",17689177.0
32631,"Universal Pictures,Bregman/Baer Productions",0.0
11777,Paramount Pictures,0.0
628,Geffen Pictures,223664608.0
87729,"Merchant Ivory Productions,Touchstone Pictures",2474000.0
18713,"Caravan Pictures,Touchstone Pictures",0.0
6280,"Universal Pictures,Northern Lights Entertainment",37000000.0
9061,"Fountainbridge Films,Warner Bros.,Lee Rich Productions",0.0
37108,"Walt Disney Pictures,Trimark Pictures",0.0
6071,Twentieth Century Fox Film Corporation,0.0
11,"Lucasfilm,Twentieth Century Fox Film Corporation",775398007.0
9587,Columbia Pictures,0.0
19101,Warner Bros.,0.0
49980,"Channel Four Films,Parallax Pictures",0.0
17961,MK2 Productions,0.0
18183,"Aviacsa,Cinevista",21665468.0
4476,"Bedford Falls Productions,TriStar Pictures,Pangaea",160638883.0
11008,Universal Pictures,0.0
47504,"Fine Line Features,New Line Cinema,Live Entertainment",0.0
32325,"Channel Four Films,Cineville,Home Box Office (HBO),Showcase Entertaiment Inc.",0.0
43742,Warner Bros.,0.0
28313,Paramount Pictures,7603766.0
11318,"Channel Four Films,Samuel Goldwyn Company,Close Call Films",0.0
3036,"American Zoetrope,TriStar Pictures",112006296.0
40490,Walt Disney Pictures,0.0
24070,TriStar Pictures,0.0
8986,"Paramount Pictures,The Kennedy/Marshall Company",18137661.0
10510,Twentieth Century Fox Film Corporation,46264384.0
17402,Hollywood Pictures,5.0
38722,"American Zoetrope,American Playhouse,Majestic Films International,Newcomb Productions",0.0
8438,"Wolper Organization,Warner Bros.",17381942.0
11593,"Paramount Pictures,Capella International,Cinehaus",0.0
1945,"Twentieth Century Fox Film Corporation,Egg Pictures,PolyGram Filmed Entertainment",106683817.0
39310,40 Acres & A Mule Filmworks,0.0
109560,"TOEI,Distant Justice Joint Venture",0.0
56428,Metrodome Films,0.0
63105,"Filmwerks,Imperial Entertainment",0.0
131957,Triumph Films,0.0
241,"Regency Enterprises,Alcor Films,Ixtlan,Warner Bros.,New Regency Pictures,J D Productions",50282766.0
9058,TriStar Pictures,0.0
527,"Avalon Studios,New Zealand Film Commission,New Zealand On Air",2201126.0
18220,"New Line Cinema,CineTel Pictures,MG Entertainment",0.0
6950,"Kopelson Entertainment,Punch Productions,Warner Bros.,Arnold Kopelson Productions",189859560.0
101,"Columbia Pictures,Gaumont",45284974.0
63020,"Samuel Goldwyn Company, The",2832826.0
2307,Hollywood Pictures,0.0
680,"Miramax Films,A Band Apart,Jersey Films",213928762.0
41478,"Polygram Filmed Entertainment,Gramercy Pictures (I),MVP Films",6834525.0
25296,Ang Lee Productions,152322.0
40156,"BBC Films,PolyGram Filmed Entertainment,Miramax",4176932.0
11450,"Wildwood Enterprises,Hollywood Pictures,Baltimore Pictures",0.0
30304,"Cecile Company,Thousand Cranes Filmworks",0.0
10452,"Renn Productions,Eurimages,Canal+,ARD/Degeto Film GmbH,D.A. Films,France2 Cinéma,WMG Film,Centre National de la Cinématographie (CNC),N.E.F. Filmproduktion und Vertriebs GmbH,Miramax,RCS Films & TV",0.0
12106,TriStar Pictures,18552460.0
161495,"Hollywood Pictures,Interscope Communications,Nomura Babcock & Brown",12400000.0
3586,Miramax Films,11300653.0
110,"Zespół Filmowy TOR,Le Studio Canal+,France 3 Cinéma,Télévision Suisse-Romande",0.0
108,"France 3 Cinéma,CED Productions",0.0
109,"Le Studio Canal+,France 3 Cinéma,Eurimages",0.0
92769,"Allegro Films,Norstar Entertainment,west wind entertainment",0.0
28033,Paramount Pictures,0.0
22586,Rich Animation Studios,9771658.0
14334,"Jones Entertainment Group,Skerry Productions",0.0
